"","Id","SalePrice","OverallQual","GrLivArea","GarageCars","ExterQual","GarageArea","TotalBsmtSF","X1stFlrSF","KitchenQual","BsmtQual","FullBath","GarageFinish","TotRmsAbvGrd","YearBuilt","FireplaceQu","YearRemodAdd","GarageYrBlt","MasVnrArea","Fireplaces","HeatingQC","BsmtFinSF1","GarageType_NoGarage","GarageType_2Types","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","Foundation_PConc","Foundation_CBlock","Foundation_BrkTil","Foundation_Wood","Foundation_Slab","Foundation_Stone","BsmtExposure","LotFrontage","WoodDeckSF","X2ndFlrSF","OpenPorchSF","BsmtFinType1","HalfBath","GarageQual","LotArea","GarageCond","LotShape_Reg","LotShape_IR1","LotShape_IR2","LotShape_IR3"
"11",11,129500,0.444444444444444,0.133006782215524,0.25,1,0.27080394922426,0.170212765957447,0.162000917852226,1,1,0.333333333333333,0.33,0.25,1965,0,0.25,0.590909090909091,0,0,4,0.160524450744153,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.271565495207668,0,0.25181598062954,0,1,0,0,0.03948988362099,0,1,0,0,0
"12",12,345000,0.888888888888889,0.37490580256217,0.75,1,0.519040902679831,0.192307692307692,0.194584671867829,1,1,1,1,0.75,2005,4,0.933333333333333,0.954545454545455,0.17875,2,4,0.176824946846208,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.191693290734824,0,0.253753026634383,0.0146252285191956,1,0,0,0.0446003391484123,0,1,0,0,0
"13",13,144000,0.444444444444444,0.108892238131123,0.25,1,0.248236953455571,0.149263502454992,0.132629646626893,1,1,0.333333333333333,0.33,0.166666666666667,1962,0,0.2,0.563636363636364,0,0,2,0.130581148121899,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.175718849840256,0,0,0,1,0,0,0.0255522776371112,0,1,0,0,0
"14",14,279500,0.666666666666667,0.218538055764883,0.75,0.5,0.592383638928068,0.244517184942717,0.266177145479578,0.5,0.8,0.666666666666667,0.66,0.416666666666667,2006,4,0.95,0.963636363636364,0.19125,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.293929712460064,0,0.449878934624697,0.361974405850091,1,0,0,0.0256451950103371,0,1,0,0,0
"15",15,157000,0.555555555555556,0.173134890730972,0.25,1,0.248236953455571,0.205073649754501,0.210876548875631,1,1,0.333333333333333,0.66,0.25,1960,2,0.166666666666667,0.545454545454545,0.1325,1,2,0.129872430900071,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.175718849840256,0.306884480746791,0,0,1,0,0,0.0248553973379173,0,0,1,0,0
"16",16,132000,0.666666666666667,0.0979653353428787,0.5,1,0.406205923836389,0.136170212765957,0.119320789352914,1,1,0.333333333333333,0.33,0.25,1929,0,0.85,0.827272727272727,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.185303514376997,0,0.254721549636804,0.276051188299817,1,0,0,0.0390717554414737,0,1,0,0,0
"17",17,149000,0.555555555555556,0.126224566691786,0.5,1,0.338504936530324,0.164320785597381,0.153740247820101,1,1,0.333333333333333,1,0.25,1970,3,0.333333333333333,0.636363636363636,0.1125,1,4,0.102409638554217,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.191693290734824,0,0.0532687651331719,0.179159049360146,1,0,0,0.0259518223419824,0,0,1,0,0
"18",18,90000,0.333333333333333,0.181235870384326,0.5,1,0.363892806770099,0,0.220743460302891,1,0,0.666666666666667,0.33,0.333333333333333,1967,0,0.283333333333333,0.609090909090909,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.162939297124601,0,0,0,1,0,0,0.0284327162071128,0,1,0,0,0
"19",19,159000,0.444444444444444,0.146948003014318,0.5,1,0.406205923836389,0.182324058919804,0.178981184029371,0.5,1,0.333333333333333,0.33,0.333333333333333,2004,0,0.9,0.945454545454545,0,0,4,0.114457831325301,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.21405750798722,0.382730455075846,0,0,1,0,0,0.0407767892401682,0,1,0,0,0
"20",20,139000,0.444444444444444,0.189336850037679,0.25,1,0.207334273624824,0.168412438625205,0.230610371730151,1,1,0.333333333333333,0.33,0.333333333333333,1958,0,0.25,0.527272727272727,0,0,2,0.0892983699503898,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.178913738019169,0,0,0,1,0,0,0.0191874375711399,0,0,1,0,0
"21",21,325300,0.777777777777778,0.384702336096458,0.75,0.5,0.601551480959097,0.189525368248773,0.189077558513079,0.5,1,1,0.66,0.583333333333333,2005,4,0.933333333333333,0.954545454545455,0.2375,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.175718849840256,0,0.168523002421307,0.292504570383912,1,0,0,0.0408836442193779,0,1,0,0,0
"22",22,139400,0.666666666666667,0.145817633760362,0.25,1,0.197461212976023,0.104255319148936,0.177604405690684,0.5,1,0.333333333333333,0.33,0.333333333333333,1930,4,0,0.272727272727273,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.111821086261981,0,0.359322033898305,0.53199268738574,1,0,0,0.0292689725661456,0,1,0,0,0
"23",23,230000,0.777777777777778,0.275244913338357,0.5,0.5,0.376586741889986,0.290834697217676,0.335245525470399,0.5,0.8,0.666666666666667,0.66,0.416666666666667,2002,4,0.866666666666667,0.927272727272727,0.175625,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.255591054313099,0,0,0,1,0,0,0.0371669492903436,0,1,0,0,0
"24",24,129900,0.444444444444444,0.136774679728711,0.5,1,0.403385049365303,0.170212765957447,0.166590178981184,1,0.8,0.333333333333333,0.33,0.333333333333333,1976,3,0.433333333333333,0.690909090909091,0,1,2,0.148830616583983,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.159744408945687,0,0.178208232445521,0,1,0,0,0.0275267718181607,0,1,0,0,0
"25",25,154000,0.444444444444444,0.136774679728711,0.25,1,0.190409026798307,0.173486088379705,0.166590178981184,0.5,1,0.333333333333333,0.33,0.333333333333333,1968,3,0.85,0.618181818181818,0,1,4,0.033309709425939,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.191693290734824,0,0.228571428571429,0,1,1,0,0.0501753815419638,0,1,0,0,0
"26",26,256300,0.777777777777778,0.238507912584778,0.75,0.5,0.627644569816643,0.256301145662848,0.290500229463056,0.5,0.8,0.666666666666667,0.66,0.416666666666667,2007,4,0.95,0.972727272727273,0.4,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.162939297124601,0,0,0,1,0,0,0.0274106251016284,0,0,1,0,0
"27",27,134800,0.444444444444444,0.10663149962321,0.5,1,0.406205923836389,0.147299509001637,0.129876089949518,0.5,1,0.333333333333333,0.33,0.25,1951,0,0.833333333333333,0.954545454545455,0,0,2,0.0414599574769667,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.191693290734824,0,0,0,1,0,0,0.0278752119677577,0,1,0,0,0
"28",28,306000,0.777777777777778,0.258100979653353,0.75,0.5,0.544428772919605,0.278887070376432,0.314364387333639,0.5,1,0.666666666666667,0.66,0.416666666666667,2007,4,0.966666666666667,0.981818181818182,0.125,1,4,0.215804394046775,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0670926517571885,0,0.264406779661017,0,1,1,0,0.00712211665776208,0,1,0,0,0
"29",29,207500,0.444444444444444,0.238507912584778,0.25,1,0.224964739069111,0.242880523731588,0.290500229463056,1,1,0.333333333333333,0.66,0.333333333333333,1957,4,0.783333333333333,0.518181818181818,0,2,2,0.226257973068746,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.191693290734824,0.158693115519253,0.281840193704601,0,1,1,0,0.0319728681270181,0,1,0,0,0
"30",30,68500,0.333333333333333,0.0350414468726451,0.25,1,0.169252468265162,0.0851063829787234,0.0426801284993116,0,1,0.333333333333333,0.33,0.166666666666667,1927,0,0,0.181818181818182,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.159744408945687,0,0,0.36563071297989,1,0,0,0.0436943947594602,0,1,0,0,0
"31",31,40000,0.333333333333333,0.185192162773173,0.25,1,0.176304654442877,0.106219312602291,0.0722808627810922,1,1,0.333333333333333,0.33,0.333333333333333,1920,0,0,0.181818181818182,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.172523961661342,0,0.116222760290557,0,1,0,0,0.0294640990499199,0,1,0,0,0
"32",32,149350,0.444444444444444,0.168425018839488,0.25,1,0.191114245416079,0.200981996726678,0.205139972464433,0.5,1,0.333333333333333,0.33,0.333333333333333,1966,0,0.933333333333333,0.6,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.0670926517571885,0.234539089848308,0.264406779661017,0,1,1,0,0.00780505935097215,0,1,0,0,0
"33",33,179900,0.777777777777778,0.169555388093444,0.5,0.5,0.34132581100141,0.201963993453355,0.206516750803121,0.5,1,0.666666666666667,0.66,0.416666666666667,2007,0,0.95,0.972727272727273,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.178913738019169,0,0,0.175502742230347,1,0,0,0.0188622267648494,0,1,0,0,0
"34",34,165500,0.444444444444444,0.257347400150716,0.5,1,0.315232722143865,0.228805237315876,0.313446535107848,0.5,1,0.333333333333333,0.66,0.333333333333333,1959,4,0.15,0.536363636363636,0,1,3,0.180368532955351,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.12779552715655,0,0,0,1,0,0,0.0168923784524611,0,1,0,0,0
"35",35,277500,0.888888888888889,0.231160512434062,0.5,1,0.392101551480959,0.255482815057283,0.281551170261588,1,1,0.666666666666667,1,0.333333333333333,2005,4,0.916666666666667,0.954545454545455,0.15375,1,4,0.204287739192062,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.488817891373802,0,0,0.036563071297989,1,0,0,0.0191316871472043,0,0,1,0,0
"36",36,309000,0.777777777777778,0.399020346646571,0.75,0.5,0.487306064880113,0.182815057283142,0.183111519045434,0.5,1,1,1,0.583333333333333,2004,4,0.916666666666667,0.945454545454545,0.0825,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.191693290734824,0.0373395565927655,0.433898305084746,0.0822669104204753,1,2,0,0.0418128179516365,0,1,0,0,0
"37",37,145000,0.444444444444444,0.143745290128109,0.5,1,0.473906911142454,0.179541734860884,0.175080312069757,1,0.8,0.333333333333333,0.33,0.333333333333333,1994,0,0.75,0.863636363636364,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.287539936102236,0.0420070011668611,0,0.102376599634369,1,0,0,0.0799879207414806,0,1,0,0,0
"38",38,153000,0.444444444444444,0.181424265259985,0.5,1,0.351198871650212,0.21227495908347,0.220972923359339,1,1,0.333333333333333,1,0.25,1954,3,0.666666666666667,0.490909090909091,0.40625,1,3,0.21491849751949,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.223801783923408,0,0.179661016949153,0.263254113345521,1,0,0,0.0367952797974401,0,0,1,0,0
"39",39,109000,0.444444444444444,0.136209495101733,0.25,1,0.173483779971791,0.172995090016367,0.16590178981184,0.5,1,0.333333333333333,0.33,0.25,1953,0,0.95,0.481818181818182,0,0,2,0.129518072289157,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0.223801783923408,0,0.474576271186441,0,1,0,0,0.0329020418592766,0,1,0,0,0
"40",40,82000,0.333333333333333,0.154107008289375,0,1,0,0,0.187700780174392,0,0,0.666666666666667,0,0.333333333333333,1955,0,0.0833333333333333,0.713692398971586,0,0,2,0,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,3,0.175718849840256,0,0.455205811138015,0.351005484460695,1,1,0,0.0396060303375224,0,1,0,0,0
"41",41,160000,0.555555555555556,0.186510926902788,0.5,1,0.310296191819464,0.178068739770867,0.227168425883433,1,1,0.666666666666667,0.66,0.333333333333333,1965,3,0.25,0.590909090909091,0.063125,1,4,0.11392629340893,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0.300319488817891,0.149358226371062,0.441646489104116,0,1,2,0,0.0436711654161537,0,1,0,0,0
"42",42,170000,0.444444444444444,0.187264506405426,0.25,1,0.217207334273625,0.220949263502455,0.228086278109224,1,1,0.333333333333333,0.66,0.25,1959,4,0.15,0.536363636363636,0,2,3,0.171332388377038,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.175718849840256,0,0,0,2,0,0,0.0203860716857534,0,0,1,0,0
"43",43,144000,0.444444444444444,0.10361718161266,0.5,1,0.355430183356841,0.137479541734861,0.126204681046352,0.5,0.8,0.333333333333333,0.66,0.25,1983,0,0.55,0.754545454545455,0,0,3,0.132352941176471,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.191693290734824,0,0.697336561743341,0.20109689213894,2,0,0,0.0506213849334479,0,1,0,0,0
"44",44,130250,0.444444444444444,0.113790504898267,0.25,1,0.217207334273625,0.153518821603928,0.138595686094539,1,0.8,0.333333333333333,0.33,0.25,1975,0,0.5,0.7,0,0,2,0.0496102055279943,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.159744408945687,0.191365227537923,0,0,2,0,0,0.0247624799646914,0,1,0,0,0
"45",45,141000,0.444444444444444,0.153730218538056,0.25,1,0.211565585331453,0.188216039279869,0.187241854061496,1,1,0.333333333333333,0.66,0.333333333333333,1959,0,0.15,0.536363636363636,0,0,4,0.0317150956768249,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.159744408945687,0,0.588377723970944,0.0987202925045704,2,0,0,0.024390810471788,0,1,0,0,0
"46",46,319900,0.888888888888889,0.267143933685004,0.5,1,0.406205923836389,0.286743044189853,0.325378614043139,1,1,0.666666666666667,0.66,0.333333333333333,2005,4,0.916666666666667,0.954545454545455,0.2575,1,4,0.0807937632884479,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0.0670926517571885,0.112018669778296,0,0.0438756855575868,2,0,0,0.00692699017398778,0,1,0,0,0
"47",47,239686,0.666666666666667,0.341936699321778,0.5,0.5,0.472496473906911,0.234697217675941,0.271684258834328,0.5,1,0.333333333333333,0.66,0.333333333333333,2003,5,0.883333333333333,0.936363636363636,0,1,4,0.239369241672573,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.21405750798722,0,0,0,3,0,0,0.0260354479778857,0,1,0,0,0
"48",48,249700,0.777777777777778,0.249058025621703,0.75,0.5,0.582510578279267,0.271031096563011,0.303350160624139,0.5,0.8,0.666666666666667,0.66,0.416666666666667,2006,0,0.933333333333333,0.963636363636364,0,0,4,0.00425230333097094,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.175718849840256,0,0.37772397094431,0.336380255941499,3,0,0,0.026421055076773,0,1,0,0,0
"49",49,113000,0.333333333333333,0.210625470987189,0,1,0,0.120458265139116,0.0922441486920606,1,1,0.666666666666667,0,0.5,1920,0,0.966666666666667,0.713692398971586,0,0,3,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0.191693290734824,0,0,0,3,0,0,0.0391646728146995,0,1,0,0,0
"50",50,127000,0.444444444444444,0.116993217784476,0.25,1,0.272214386459803,0.156301145662848,0.142496558054153,1,1,0.333333333333333,0.33,0.333333333333333,1966,0,0.266666666666667,0.6,0,0,4,0.135187810063785,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.191693290734824,0,0,0.956124314442413,3,0,0,0.0366047991823271,0,1,0,0,0
"51",51,177000,0.555555555555556,0.214016578749058,0.5,1,0.273624823695346,0.129950900163666,0.105553005966039,1,0.8,0.666666666666667,1,0.333333333333333,1997,0,0.783333333333333,0.881818181818182,0,0,3,0.0322466335931963,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.440894568690096,0.142357059509918,0.470217917675545,0,3,0,0,0.0837650119631118,0,0,1,0,0
"52",52,114500,0.555555555555556,0.1586284853052,0.5,1,0.372355430183357,0.133551554828151,0.110601193207894,1,1,0.333333333333333,0.33,0.333333333333333,1934,4,0,0.772727272727273,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.223642172523962,0,0,0,3,0,0,0.0198378591837209,0,1,0,0,0
"53",53,110000,0.444444444444444,0.0908063300678222,0.5,0,0.363892806770099,0.133551554828151,0.110601193207894,1,0.8,0.333333333333333,0.33,0.25,1963,0,0.216666666666667,0.572727272727273,0,0,2,0.0184266477675408,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.223801783923408,0,0,0,3,0,0,0.0345931380519873,0,1,0,0,0
"54",54,385000,0.888888888888889,0.284099472494348,0.75,0.5,0.630465444287729,0.301472995090016,0.346030289123451,0.5,1,0,1,0.25,1981,4,0.616666666666667,0.736363636363636,0,1,3,0.320694542877392,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.201277955271566,0.168028004667445,0,0,4,0,0,0.064610095472601,0,1,0,0,0
"55",55,130000,0.444444444444444,0.193293142426526,0.5,1,0.403385049365303,0.062847790507365,0.235429095915558,1,1,0.333333333333333,0.33,0.333333333333333,1955,3,0.0833333333333333,0.563636363636364,0,1,2,0.0680368532955351,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.143769968051118,0,0,0,4,0,0,0.0383191247183442,0,1,0,0,0
"56",56,180500,0.555555555555556,0.205538809344386,0.5,1,0.406205923836389,0.233224222585925,0.250344194584672,1,1,0.666666666666667,0.66,0.416666666666667,1964,4,0.233333333333333,0.581818181818182,0.17,1,3,0.0868178596739901,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.223801783923408,0,0,0,4,0,0,0.0377476828730052,0,0,1,0,0
"57",57,172500,0.777777777777778,0.264694800301432,0.5,0.5,0.338504936530324,0.158756137479542,0.148921523634695,0.5,0.8,0.666666666666667,1,0.416666666666667,1999,0,0.833333333333333,0.9,0.285,0,4,0.114989369241673,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0.201277955271566,0,0,0.0511882998171846,4,0,0,0.04976654509977,0,1,0,0,0
"58",58,196500,0.666666666666667,0.261115297663904,0.5,0.5,0.398448519040903,0.140752864157119,0.120697567691602,0.5,0.8,0.666666666666667,0.66,0.416666666666667,2004,0,0.9,0.945454545454545,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0.0670926517571885,0,0,0,4,0,0,0.00899440172826314,0,1,0,0,0
"59",59,438780,1,0.491899020346647,0.75,1,0.452045133991537,0.230769230769231,0.25057365764112,0.5,1,1,1,0.666666666666667,2006,4,0.933333333333333,0.963636363636364,0.644375,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0.159744408945687,0.136522753792299,0,0,4,0,0,0.0334827754419383,0,0,1,0,0
"60",60,124900,0.444444444444444,0.0840241145440844,0.25,1,0.248236953455571,0.127659574468085,0.102340523175769,1,1,0.333333333333333,0.33,0.166666666666667,1972,0,0.366666666666667,0.663636363636364,0,0,4,0.111977321048901,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0.223801783923408,0,0,0,4,1,0,0.0465516039861553,0,0,1,0,0
"61",61,158000,0.555555555555556,0.155237377543331,0.5,1,0.406205923836389,0.189525368248773,0.189077558513079,0.5,0.8,0.333333333333333,0.33,0.25,2004,0,0.9,0.963636363636364,0,0,4,0.166725726435152,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.246006389776358,0.41073512252042,0,0,5,1,0,0.0432994959232502,0,0,1,0,0
"62",62,101000,0.444444444444444,0.14638281838734,0.25,1,0.203102961918195,0.0867430441898527,0.0566773749426342,0,1,0.333333333333333,0.33,0.333333333333333,1920,0,0.766666666666667,0.318181818181818,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.223642172523962,0,0,0,5,0,0,0.0487816209435759,0,1,0,0,0
"63",63,202500,0.777777777777778,0.19517709118312,0.5,0.5,0.34132581100141,0.224222585924714,0.237723726480037,0.5,0.8,0.666666666666667,0.66,0.333333333333333,2006,4,0.933333333333333,0.963636363636364,0.11125,1,4,0.00425230333097094,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.198083067092652,0.163360560093349,0.264891041162228,0,5,0,0,0.0469511486910265,0,1,0,0,0
"64",64,140000,0.666666666666667,0.25923134890731,0.5,1,0.338504936530324,0.0942716857610475,0.130335016062414,1,1,0.666666666666667,0.33,0.583333333333333,1921,0,0,0.818181818181818,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.12779552715655,0.0676779463243874,0,0.076782449725777,5,0,0,0.0180259704058166,0,1,0,0,0
"65",65,219500,0.666666666666667,0.32027128862095,0.5,1,0.454866008462623,0.172995090016367,0.16590178981184,0.5,0.8,0.666666666666667,0.66,0.5,1997,0,0.8,0.890909090909091,0.358125,0,4,0.130935506732814,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.293929712460064,0,0,0,5,0,0,0.056252177750935,0,1,0,0,0
"66",66,317000,0.777777777777778,0.402976639035418,0.75,0.5,0.600846262341326,0.187070376432079,0.185635612666361,0.5,1,0.666666666666667,0.66,0.583333333333333,2004,4,0.916666666666667,0.945454545454545,0.215,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.223642172523962,0,0,0.0548446069469835,5,0,0,0.0390345884921833,0,1,0,0,0
"67",67,180000,0.666666666666667,0.352863602110023,0.5,1,0.406205923836389,0.318657937806874,0.429784304726939,1,0.8,0.666666666666667,0.66,0.416666666666667,1970,4,0.65,0.636363636363636,0.179375,1,2,0.161587526576896,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.159744408945687,0,0,0,5,0,0,0.0284791748937258,0,1,0,0,0
"68",68,226000,0.666666666666667,0.215712132629992,0.5,0.5,0.393511988716502,0.237806873977087,0.262735199632859,0.5,0.8,0.666666666666667,0.66,0.416666666666667,2003,0,0.883333333333333,0.936363636363636,0.104375,0,4,0.179482636428065,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.21405750798722,0,0.449394673123487,0.127970749542962,5,2,0,0.0407767892401682,0,1,0,0,0
"69",69,80000,0.333333333333333,0.0778070836473248,0.25,1,0.155148095909732,0.122258592471358,0.0947682423129876,1,1,0.333333333333333,0.33,0.166666666666667,1945,0,0,0.409090909090909,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.223801783923408,0,0,0,5,0,0,0.0407907268461521,0,0,1,0,0
"70",70,225000,0.666666666666667,0.367935192162773,0.5,0.5,0.470380818053597,0.21342062193126,0.222579164754475,1,1,0.666666666666667,1,0.416666666666667,1953,3,0.05,0.481818181818182,0,1,2,0.106839121190645,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0.185303514376997,0,0,0,5,0,0,0.0422681130804432,0,0,1,0,0
"71",71,244000,0.666666666666667,0.355877920120573,0.5,1,0.363892806770099,0.363829787234043,0.433455713630106,1,0.8,0.666666666666667,1,0.5,1973,4,0.383333333333333,0.663636363636364,0.696875,2,4,0.33309709425939,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0.0670926517571885,0.102683780630105,0,0,5,0,0,0.00878069176984367,0,1,0,0,0
"72",72,129500,0.333333333333333,0.0962697814619442,0.5,1,0.253878702397743,0.138297872340426,0.117255621844883,1,1,0.333333333333333,0.33,0.166666666666667,1982,0,0.933333333333333,0.790909090909091,0,0,2,0.100106307583274,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.191693290734824,0,0,0,6,0,0,0.0374921600966341,0,1,0,0,0
