"","OverallQual","YearBuilt","TotalBsmtSF","GrLivArea","FullBath","TotRmsAbvGrd","GarageCars","GarageArea","Fireplaces","GarageYrBlt","MasVnrArea","X1stFlrSF","SalePrice"
"165",6,1926,1149,1616,2,5,1,216,0,1926,0,1149,152000
"166",5,1940,644,1355,2,6,0,0,0,1978.50616388687,0,808,127500
"167",5,1955,1617,1867,1,7,1,303,3,1955,0,1867,190000
"168",8,2007,1582,2161,1,8,3,789,1,2007,300,1610,325624
"169",7,2004,840,1720,2,7,2,440,1,2004,0,840,183500
"170",8,1981,1686,1707,2,6,2,511,1,1981,653,1707,228000
"171",5,1941,720,1382,1,7,2,660,0,1991,0,854,128500
"172",6,1960,1080,1656,1,7,2,528,2,1960,112,1656,215000
"173",7,1987,1064,1767,2,5,2,504,1,1987,0,1064,239000
"174",6,1961,1362,1362,1,6,2,504,1,1961,491,1362,163000
"175",6,1986,1606,1651,2,7,2,616,1,1986,132,1651,184000
"176",6,1950,1202,2158,2,7,2,576,1,1950,0,2158,243000
"177",6,1988,1151,2060,2,8,2,521,1,1988,268,1164,211000
"178",5,1958,1052,1920,2,8,2,451,1,1958,0,1252,172500
"179",9,2008,2216,2234,2,9,3,1166,1,2009,748,2234,501837
"180",5,1923,968,968,1,5,2,480,0,1935,0,968,100000
"181",6,2000,756,1525,2,5,2,440,1,2000,456,769,177000
"182",7,1920,793,1802,1,9,1,216,1,1920,0,901,200100
"183",5,1957,0,1340,1,7,1,252,1,1957,98,1340,120000
"184",7,2003,1362,2082,2,6,2,484,0,2003,0,1362,200000
"185",5,1908,504,1252,1,5,2,576,0,1986,0,936,127000
"186",10,1892,1107,3608,2,12,3,840,2,1993,0,1518,475000
"187",7,1990,1188,1217,2,6,2,497,0,1990,0,1217,173000
"188",5,1916,660,1656,2,8,1,180,0,1916,0,808,135000
"189",5,1979,1086,1224,0,6,2,528,2,1979,275,1224,153337
"190",8,2001,1593,1593,1,5,2,682,1,2001,0,1593,286000
"191",8,1932,853,2727,2,10,2,440,2,1932,0,1549,315000
"192",7,1972,725,1479,1,7,2,484,0,1972,138,725,184000
"193",7,1999,1431,1431,2,6,2,666,0,1999,0,1431,192000
"194",7,2004,970,1709,2,7,2,380,0,2004,50,970,130000
"195",5,1972,864,864,1,5,1,352,0,1989,0,864,127000
"196",6,1976,855,1456,2,7,2,440,1,1976,0,855,148500
"197",7,2007,1726,1726,2,8,3,786,1,2007,205,1726,311872
"198",8,1918,1360,3112,2,8,2,795,1,1918,0,1360,235000
"199",6,1912,755,2229,1,8,0,0,0,1978.50616388687,0,929,104000
"200",8,2004,1713,1713,2,7,3,856,1,2004,262,1713,274900
"201",4,2003,1121,1121,2,5,2,440,0,2003,0,1121,140000
"202",6,1977,1196,1279,2,6,2,473,2,1980,0,1279,171500
"203",6,1924,617,1310,2,6,1,398,0,1924,0,865,112000
"204",6,2004,848,848,1,3,2,420,1,2004,205,848,149000
"205",5,1947,720,1284,1,5,1,240,0,1948,0,720,110000
"206",7,1990,1424,1442,2,5,2,500,0,1990,0,1442,180500
"207",5,1962,1140,1696,1,8,1,349,1,1962,0,1696,143900
"208",4,1960,1100,1100,1,6,1,312,1,1960,0,1100,141000
"209",7,1988,1157,2062,2,7,2,454,1,1988,128,1180,277000
"210",6,1964,1092,1092,1,6,2,504,0,1964,260,1092,145000
"211",5,1925,864,864,1,5,0,0,0,1978.50616388687,0,864,98000
"212",6,2009,1212,1212,2,6,2,460,0,2009,0,1212,186000
"213",7,2009,900,1852,2,7,2,644,1,2009,0,932,252678
"214",5,1995,990,990,1,5,2,576,0,1996,0,990,156000
"215",6,1977,689,1392,1,6,1,299,0,1977,153,689,161750
"216",5,1957,1070,1236,1,6,1,447,1,1957,64,1236,134450
"217",7,2004,1436,1436,2,8,2,484,0,2004,266,1436,210000
"218",4,1925,686,1328,1,8,1,210,0,1940,0,810,107000
"219",7,1939,798,1954,1,8,2,431,2,1939,312,1137,311500
"220",7,2005,1248,1248,2,5,2,438,0,2005,16,1248,167240
"221",7,2006,1498,1498,2,5,2,675,0,2006,0,1498,204900
"222",6,2002,1010,2267,2,8,2,390,1,2002,0,1010,200000
"223",6,1975,713,1552,2,6,2,434,1,1975,0,811,179900
"224",4,1971,864,864,1,4,2,576,0,1989,0,864,97000
"225",10,2003,2392,2392,2,8,3,968,1,2003,922,2392,386250
"226",5,1971,630,1302,2,6,1,280,0,1991,142,630,112000
"227",7,1995,1203,2520,2,9,3,721,1,1995,290,1214,290000
"228",6,1970,483,987,1,5,1,280,0,1987,127,483,106000
"229",5,1967,912,912,1,5,1,336,1,1974,0,912,125000
"230",7,2005,1373,1555,2,7,2,430,1,2005,16,1555,192500
"231",6,1959,1194,1194,1,6,1,312,0,1959,220,1194,148000
"232",8,1995,1462,2794,2,9,3,810,1,1995,506,1490,403000
"233",6,1972,483,987,1,5,1,288,1,1972,297,483,94500
"234",5,1976,894,894,1,5,1,308,0,1976,0,894,128200
"235",6,2002,860,1960,2,8,2,440,2,2002,103.685261707989,860,216500
"236",6,1971,483,987,1,5,1,264,0,1971,604,483,89500
"237",7,2004,1414,1414,2,6,2,494,0,2004,98,1414,185500
"238",7,1993,996,1744,2,7,2,457,0,1993,0,1014,194500
"239",8,2007,1694,1694,2,7,3,818,0,2007,254,1694,318000
"240",6,1945,735,1487,1,7,1,220,1,1949,0,798,113000
"241",8,2008,1566,1566,2,7,2,750,0,2008,36,1566,262500
"242",5,1945,686,866,1,4,0,0,0,1978.50616388687,0,866,110500
"243",5,1900,540,1440,1,6,1,352,0,1940,0,889,79000
"244",6,1980,626,1217,1,6,1,288,1,1980,0,626,120000
"245",7,1994,948,2110,2,8,2,463,2,1994,0,1222,205000
"246",7,1988,1845,1872,2,6,2,604,1,1988,102,1872,241500
"247",6,1910,1020,1928,2,9,1,440,0,1910,0,908,137000
"248",6,1954,1367,1375,1,5,2,451,1,1954,0,1375,140000
"249",7,2003,840,1668,2,8,2,500,0,2003,101,840,180000
"250",6,1958,1444,2144,2,7,2,389,2,1958,472,1444,277000
"251",3,1940,728,1306,1,6,0,0,0,1978.50616388687,0,1306,76500
"252",8,2006,1573,1625,2,5,2,538,1,2006,481,1625,235000
"253",6,2004,798,1640,2,6,2,520,0,2004,0,798,173000
"254",6,1964,1302,1302,2,7,1,309,0,1964,108,1302,158000
"255",5,1957,1314,1314,1,5,1,294,0,1957,0,1314,145000
"256",7,1999,975,2291,2,8,2,429,1,1999,302,1005,230000
"257",6,2003,864,1728,2,7,2,673,0,2003,0,864,207500
"258",7,2006,1604,1604,2,8,2,660,1,2006,180,1604,220000
"259",7,2001,963,1792,2,7,2,564,1,2001,172,963,231500
"260",5,1956,0,882,1,4,1,308,0,1956,0,882,97000
"261",6,1962,1362,1382,1,6,2,884,1,1991,399,1382,176000
"262",8,2007,1482,2574,2,10,3,868,1,2007,270,1482,276000
"263",6,1977,506,1212,1,6,2,492,1,1978,46,1212,151000
"264",5,1929,926,1316,1,6,2,484,0,1974,0,926,130000
"265",5,1925,680,764,1,4,2,504,0,1965,0,764,73000
"266",6,1981,1422,1422,2,7,2,576,1,1981,210,1422,175500
"267",6,1997,802,1511,2,8,2,413,1,1997,0,802,185000
"268",5,1939,720,2192,2,8,1,240,1,1939,0,1052,179500
"269",5,1940,740,778,1,4,1,924,1,1966,0,778,120500
"270",6,1976,1143,1113,1,6,1,504,1,1987,174,1113,148000
"271",8,2006,1095,1939,2,8,3,1053,1,2006,0,1095,266000
"272",7,1954,1385,1363,1,5,2,439,2,1954,0,1363,241500
"273",8,1999,1152,2270,2,9,3,671,1,1999,348,1164,290000
"274",6,1958,1240,1632,2,6,1,338,1,1958,183,1632,139000
"275",5,1982,816,816,1,5,1,264,0,1982,0,816,124500
"276",7,1925,952,1548,2,5,2,672,0,1978,0,952,205000
"277",7,2003,1560,1560,2,7,2,573,0,2003,0,1560,201000
"278",4,1951,864,864,1,4,2,400,0,1951,0,864,141000
"279",9,2006,2121,2121,2,8,3,732,1,2007,315,2121,415298
"280",7,1977,1160,2022,2,8,2,505,1,1977,299,1156,192000
"281",7,1989,807,1982,2,7,2,575,1,1989,340,1175,228500
"282",6,2006,1262,1262,2,5,2,572,0,2006,68,1262,185000
"283",7,2007,1314,1314,2,6,2,626,1,2008,166,1314,207500
"284",8,2008,1468,1468,2,6,3,898,1,2008,72,1468,244600
"285",6,1992,1575,1575,2,5,2,529,0,1992,0,1575,179200
"286",7,2006,625,1250,2,5,2,528,0,2006,0,625,164700
"287",6,1962,912,1734,1,7,2,440,1,1962,0,1085,159000
"288",4,1971,858,858,1,5,0,0,0,1978.50616388687,0,858,88000
"289",5,1967,882,900,1,5,1,280,0,1970,31,900,122000
"290",6,1915,698,1396,1,7,1,384,0,2003,0,698,153575
"291",8,2006,1079,1919,2,8,2,685,1,2006,0,1079,233230
"292",5,1912,780,1716,2,9,0,0,0,1978.50616388687,0,936,135900
"293",5,1949,768,1716,1,8,1,281,1,1949,0,1148,131000
"294",7,1977,795,2263,2,9,2,539,1,1977,34,1468,235000
"295",6,1953,1416,1644,1,7,2,418,2,1953,238,1644,167000
"296",6,1984,1003,1003,1,6,2,588,0,1984,0,1003,142500
"297",5,1950,910,1558,1,6,1,282,0,1950,0,910,152000
"298",7,1997,975,1950,2,7,2,576,1,1997,1600,975,239000
"299",6,1968,702,1743,1,7,2,539,1,1968,365,1041,175000
"300",6,1950,1092,1152,1,6,1,300,1,1950,0,1152,158500
"301",5,1953,1165,1336,1,5,1,375,2,1953,56,1336,157000
"302",8,1998,1028,2452,2,9,2,683,1,1998,0,1210,267000
"303",7,2001,1541,1541,2,6,3,843,1,2001,150,1541,205000
"304",5,1972,894,894,1,5,2,552,0,1975,0,894,149900
"305",7,1880,1470,3493,3,10,3,870,1,2003,0,1675,295000
"306",8,2004,2000,2000,2,8,3,888,0,2004,246,2000,305900
"307",7,1990,700,2243,2,8,3,746,1,1990,246,1122,225000
"308",6,1920,319,1406,1,6,0,0,0,1978.50616388687,0,1035,89500
"309",4,1940,861,861,1,4,2,539,0,1961,0,861,82500
"310",9,2003,1896,1944,2,8,3,708,3,2003,0,1944,360000
"311",6,1993,697,1501,2,6,2,420,1,1993,112,697,165600
"312",6,1948,972,972,1,5,1,240,1,1948,0,972,132000
"313",5,1939,793,1118,1,5,2,410,1,1939,0,793,119900
"314",7,1965,2136,2036,2,8,2,513,2,1965,0,2036,375000
"315",7,1925,728,1641,1,6,2,546,1,1925,0,832,178000
"316",7,2004,716,1432,2,6,2,432,1,2004,0,716,188500
"317",7,1980,845,2353,2,10,2,484,1,1983,278,1153,260000
"318",8,2006,1088,1959,2,8,3,1025,1,2006,0,1088,270000
"319",7,1993,1347,2646,2,9,3,656,1,1993,256,1372,260000
"320",7,1980,1372,1472,2,6,2,588,2,1980,225,1472,187500
"321",9,2006,1249,2596,3,9,3,840,0,2006,370,1249,342643
"322",8,2004,1136,2468,2,10,3,872,1,2004,388,1136,354000
"323",7,1986,1502,2730,2,8,2,576,1,1987,172,1553,301000
"324",3,1955,1162,1163,1,6,1,220,0,1955,0,1163,126175
"325",7,1967,710,2978,2,11,2,564,1,1961,300,1898,242000
"326",5,1941,720,803,1,5,2,360,0,1941,0,803,87000
"327",8,1993,1719,1719,1,6,2,473,2,1993,0,1719,324000
"328",6,1960,1383,1383,1,7,1,292,0,1960,175,1383,145250
"329",6,1916,844,2134,2,10,2,441,0,1930,0,1445,214500
"330",5,1920,596,1192,1,6,1,189,0,1920,0,596,78000
"331",5,1964,1728,1728,2,10,1,352,0,2002,84,1728,119000
"332",5,1958,1056,1056,1,6,1,308,0,1958,0,1056,139000
"333",8,2003,3206,1629,2,7,3,880,1,2003,296,1629,284000
"334",7,2004,1358,1358,2,6,2,484,1,2004,146,1358,207000
"335",6,1998,943,1638,2,7,2,472,2,1998,0,943,192000
"336",5,1965,1499,1786,2,7,2,529,2,1965,0,1619,228950
"337",9,2005,1922,1922,2,8,3,676,1,2005,200,1922,377426
"338",7,2002,1536,1536,2,7,2,532,0,2002,113,1536,214000
"339",7,1984,1208,1621,2,8,2,440,0,1984,0,1621,202500
"340",6,1958,1215,1215,1,6,1,297,0,1958,176,1215,155000
"341",8,2002,967,1908,2,9,2,431,0,2002,0,993,202900
"342",4,1950,721,841,1,4,1,294,0,1950,0,841,82000
"343",3,1949,0,1040,2,6,2,400,0,1949,340,1040,87500
"344",9,2005,1684,1684,2,6,2,564,1,2005,616,1684,266000
"345",5,1976,536,1112,1,4,1,336,0,1976,0,536,85000
"346",6,1939,972,1577,1,6,1,312,1,1939,0,972,140200
"347",6,1960,958,958,1,5,1,301,0,1960,0,958,151500
"348",6,1960,1478,1478,2,6,2,498,2,1960,30,1478,157500
"349",7,2003,764,1626,2,6,2,474,0,2003,106,764,154000
"350",9,2005,1848,2728,2,10,3,706,2,2006,870,1848,437154
"351",9,2007,1869,1869,2,6,2,617,1,2007,362,1869,318061
"352",7,1986,1453,1453,1,6,2,445,1,1986,0,1453,190000
"353",5,1941,616,1111,1,5,1,200,0,1941,0,616,95000
"354",6,1928,624,720,1,5,2,484,0,2005,0,720,105900
"355",6,1940,940,1595,1,6,1,240,2,1940,0,1192,140000
"356",6,1995,1200,1200,2,6,2,521,0,1995,0,1200,177500
"357",6,1992,1158,1167,2,6,2,400,0,1992,106,1167,173000
"358",5,1976,1142,1142,1,6,2,528,1,1976,0,1142,134000
"359",5,1958,1062,1352,1,6,1,288,0,1958,120,1352,130000
"360",8,1998,1086,1924,2,7,2,592,1,1998,530,1086,280000
"361",6,1978,888,912,1,5,2,470,1,1978,0,912,156000
"362",5,1940,883,1505,1,8,1,240,0,1940,0,988,145000
"363",7,2003,0,1922,3,7,2,672,1,2003,500,495,198500
"364",6,1972,483,987,1,5,1,264,0,1972,510,483,118000
"365",6,1976,796,1574,2,6,2,566,1,1976,120,790,190000
"366",5,1920,672,1344,1,6,1,468,0,1964,0,672,147000
"367",6,1963,1394,1394,1,6,2,514,2,1963,247,1394,159000
"368",6,1962,1099,1431,1,6,1,296,1,1962,305,1431,165000
"369",5,1954,1268,1268,1,7,1,244,1,1954,200,1268,132000
"370",5,1959,1063,1287,1,7,2,576,1,1997,0,1287,162000
"371",6,2000,953,1664,2,7,2,460,1,2000,0,953,172400
"372",4,1959,0,1588,2,7,2,680,1,1991,0,1120,134432
"373",6,1984,744,752,1,4,1,264,0,1984,0,752,125000
"374",5,1953,608,1319,1,5,1,270,0,1953,0,1319,123000
"375",7,2003,847,1928,2,8,2,434,1,2003,0,847,219500
"376",1,1922,683,904,0,4,0,0,0,1978.50616388687,0,904,61000
"377",5,1996,870,914,1,5,2,576,0,1998,0,914,148000
"378",8,2004,1580,2466,3,8,2,610,1,2004,0,1580,340000
"379",9,2010,1856,1856,1,8,3,834,1,2010,350,1856,394432
"380",6,2000,982,1800,2,7,2,463,1,2000,16,1007,179000
"381",5,1924,1026,1691,2,6,1,308,1,1924,0,1026,127000
"382",7,2006,1293,1301,2,5,2,572,1,2006,0,1301,187750
"383",7,2006,939,1797,2,8,2,639,0,2006,0,939,213500
"384",6,1928,784,784,1,5,2,360,0,1950,0,784,76000
"385",6,1992,1580,1953,2,9,2,501,2,1992,0,1079,240000
"386",8,2004,1256,1269,2,6,2,430,1,2004,16,1269,192000
"387",5,1910,658,1184,1,8,0,0,0,1978.50616388687,0,658,81000
"388",6,1976,1041,1125,1,6,1,352,1,1977,255,1125,125000
"389",7,1999,1468,1479,2,6,2,577,0,1999,125,1479,191000
"390",10,2007,1682,2332,2,9,3,846,1,2008,272,1742,426000
"391",5,1900,861,1367,1,7,1,384,0,1978,0,961,119000
"392",6,2001,804,1961,2,7,2,560,1,2001,0,804,215000
"393",5,1959,0,882,1,5,1,294,0,1959,0,882,106500
"394",4,1941,788,788,1,4,0,0,2,1978.50616388687,0,788,100000
"395",5,1940,735,1034,1,5,1,240,0,1940,0,735,109000
"396",5,1956,1144,1144,1,6,1,596,0,1956,0,1144,129000
"397",5,1972,894,894,1,6,2,600,0,1985,0,894,123000
"398",5,1962,864,1812,2,8,1,264,1,1962,288,876,169500
"399",5,1920,961,1077,1,6,1,338,0,1920,0,1077,67000
"400",7,2006,1092,1550,2,7,2,438,0,2007,100,1112,241000
"401",8,1996,1260,1288,1,4,2,500,2,1996,0,1288,245500
"402",7,2005,1310,1310,2,6,2,400,1,2005,0,1310,164990
